Camada_Superior,Camada_Inferior,Vel_proc,Vel_Aplicador,Diametro_Aplicador,Vel_Alimentador,Visc_seg,Temp,Pressao_Aplicador,Pressao_Alimentador,Segmento_Prod_CC,Segmento_Prod_LB
4.4,4.355,80,70.8,211.0,5.7,23.0,25.5,234.5,1808.5,1.0,0.0
4.41,4.5,80,70.8,211.0,5.7,22.4,26.1,219.5,1801.5,1.0,0.0
4.43,4.765,80,70.8,211.0,5.7,22.7,25.6,214.5,1787.0,1.0,0.0
4.64,4.72,80,70.8,211.0,6.7,22.5,26.2,193.5,1715.0,1.0,0.0
4.48,4.53,80,70.8,211.0,6.7,22.2,26.3,197.5,1732.0,1.0,0.0
4.44,4.24,80,70.8,211.0,6.7,22.2,26.5,186.0,1716.0,1.0,0.0
4.56,4.36,80,70.8,211.0,6.7,22.5,26.0,201.0,1713.0,1.0,0.0
4.28,4.085,70,63.1,211.0,5.0,22.4,26.0,159.0,1762.0,1.0,0.0
4.3,4.205,80,74.2,211.0,5.4,22.2,26.0,307.5,1830.0,1.0,0.0
4.3,4.205,80,74.2,211.0,5.4,22.2,26.0,307.5,1830.0,1.0,0.0
4.96,4.935,80,78.2,211.0,6.7,23.1,25.2,239.5,1590.0,1.0,0.0
4.96,4.935,80,78.2,211.0,6.7,23.1,25.2,239.5,1590.0,1.0,0.0
4.66,4.54,80,72.5,216.5,6.5,22.5,26.4,240.0,1839.0,1.0,0.0
4.66,4.54,80,72.5,216.5,6.5,22.5,26.4,240.0,1839.0,1.0,0.0
4.66,4.54,80,72.5,216.5,6.5,22.5,26.4,240.0,1839.0,1.0,0.0
4.37,4.055,75,75.7,218.0,8.5,22.6,24.6,233.0,1594.0,0.0,1.0
4.37,4.055,75,75.7,218.0,8.5,22.6,24.6,233.0,1594.0,0.0,1.0
4.3,4.12,75,75.7,218.0,8.4,23.8,22.5,191.0,1550.0,0.0,1.0
4.3,4.12,75,75.7,218.0,8.4,23.8,22.5,191.0,1550.0,0.0,1.0
4.96,5.05,65,75.7,217.0,7.8,21.2,28.3,197.0,1656.5,0.0,1.0
4.41,11.245,80,75.7,217.0,7.8,21.2,27.5,148.0,1619.0,1.0,0.0
4.41,11.245,80,75.7,217.0,7.8,21.2,27.5,148.0,1619.0,1.0,0.0
4.46,4.545,80,75.7,217.0,7.8,21.6,26.8,153.5,1611.5,1.0,0.0
4.46,4.545,80,75.7,217.0,7.8,21.6,26.8,153.5,1611.5,1.0,0.0
4.46,4.545,80,75.7,217.0,7.8,21.6,26.8,153.5,1611.5,1.0,0.0
4.74,5.015,70,77.5,217.0,7.8,22.7,27.1,135.0,1607.5,1.0,0.0
4.87,8.95,70,76.7,217.0,7.8,23.2,26.7,176.0,1592.5,1.0,0.0
4.87,8.95,70,76.7,217.0,7.8,23.2,26.7,176.0,1592.5,1.0,0.0
4.7,4.41,45,55.0,217.0,7.8,24.6,25.5,197.0,1555.0,1.0,0.0
4.7,4.41,45,55.0,217.0,7.8,24.6,25.5,197.0,1555.0,1.0,0.0
4.92,4.435,50,56.6,213.0,6.6,23.6,27.5,71.0,1653.0,1.0,0.0
4.92,4.435,50,56.6,213.0,6.6,23.6,27.5,71.0,1653.0,1.0,0.0
4.99,4.09,50,60.8,213.0,7.6,22.2,28.4,74.0,1655.5,1.0,0.0
4.99,4.09,50,60.8,213.0,7.6,22.2,28.4,74.0,1655.5,1.0,0.0
4.36,3.895,40,56.4,213.0,6.1,22.2,27.3,217.5,1712.0,1.0,0.0
4.36,3.895,40,56.4,213.0,6.1,22.2,27.3,217.5,1712.0,1.0,0.0
4.44,4.565,80,76.6,213.0,6.1,22.3,25.9,198.0,1704.0,1.0,0.0
4.44,4.565,80,76.6,213.0,6.1,22.3,25.9,198.0,1704.0,1.0,0.0
4.9,4.835,80,78.9,213.0,6.1,22.3,25.6,166.5,1699.0,1.0,0.0
4.9,4.835,80,78.9,213.0,6.1,22.3,25.6,166.5,1699.0,1.0,0.0
4.9,4.835,80,78.9,213.0,6.1,22.3,25.6,166.5,1699.0,1.0,0.0
4.55,4.765,80,78.9,213.0,6.1,21.7,25.6,164.0,1688.5,1.0,0.0
4.89,4.7,80,78.9,213.0,7.2,21.2,25.9,111.5,1450.0,1.0,0.0
4.35,4.1,80,77.5,213.0,6.4,20.8,25.6,111.5,1774.0,1.0,0.0
4.49,4.275,80,77.5,213.0,6.4,21.8,24.8,99.5,1756.0,1.0,0.0
